dataset,n,error,trie+suffixes bytes,trie bytes,nodes,ns/lookup
az-words_truncated20.txt,895612,0,3898550,3775584,1438635,742
az-words_truncated20.txt,895612,2,1005511,889631,322959,626
az-words_truncated20.txt,895612,4,534137,439808,157143,533
az-words_truncated20.txt,895612,6,372253,292140,103594,508
az-words_truncated20.txt,895612,8,290415,218836,77207,474
az-words_truncated20.txt,895612,10,232967,169396,61477,450
az-words_truncated20.txt,895612,20,130560,84864,30275,371
az-words_truncated20.txt,895612,30,91920,55787,19976,400
az-words_truncated20.txt,895612,40,71094,40369,14826,373
az-words_truncated20.txt,895612,50,58315,32269,11770,359
az-words_truncated20.txt,895612,60,50866,26958,9795,345
az-words_truncated20.txt,895612,70,44074,23147,8368,354
az-words_truncated20.txt,895612,80,39903,20268,7285,322
az-words_truncated20.txt,895612,90,35598,18067,6480,316
az-words_truncated20.txt,895612,100,32708,16321,5838,307
az-words_truncated20.txt,895612,110,29509,14362,5291,303
az-words_truncated20.txt,895612,120,27841,13200,4849,328
az-words_truncated20.txt,895612,130,25482,12192,4449,292
az-words_truncated20.txt,895612,140,24189,11378,4151,291
az-words_truncated20.txt,895612,150,22589,10623,3856,287
az-words_truncated20.txt,895612,160,21914,9972,3605,284
az-words_truncated20.txt,895612,170,20204,9435,3404,299
az-words_truncated20.txt,895612,180,19523,8910,3191,276
az-words_truncated20.txt,895612,190,18608,8505,3050,277
az-words_truncated20.txt,895612,200,17839,8073,2874,272
az-words_truncated20.txt,895612,210,17083,7714,2735,280
az-words_truncated20.txt,895612,220,16287,7392,2617,269
az-words_truncated20.txt,895612,230,15753,7079,2500,275
az-words_truncated20.txt,895612,240,15347,6790,2383,265
az-words_truncated20.txt,895612,250,14174,6316,2281,280
az-words_truncated20.txt,895612,260,13761,6084,2197,262
az-words_truncated20.txt,895612,270,13583,5898,2131,264
az-words_truncated20.txt,895612,280,12976,5705,2050,262
az-words_truncated20.txt,895612,290,12810,5522,1979,281
az-words_truncated20.txt,895612,300,12424,5348,1905,252
az-words_truncated20.txt,895612,310,11949,5195,1844,253
az-words_truncated20.txt,895612,320,11955,5044,1785,251
az-words_truncated20.txt,895612,330,11341,4898,1727,269
az-words_truncated20.txt,895612,340,11173,4776,1685,250
az-words_truncated20.txt,895612,350,10868,4659,1628,249
az-words_truncated20.txt,895612,360,10734,4546,1591,252
az-words_truncated20.txt,895612,370,10207,4422,1543,264
az-words_truncated20.txt,895612,380,10190,4334,1507,249
az-words_truncated20.txt,895612,390,9885,4227,1468,247
az-words_truncated20.txt,895612,400,9878,4126,1427,249
az-words_truncated20.txt,895612,410,9425,4047,1392,272
az-words_truncated20.txt,895612,420,9280,3955,1360,250
az-words_truncated20.txt,895612,430,9170,3871,1316,245
az-words_truncated20.txt,895612,440,8917,3794,1295,249
az-words_truncated20.txt,895612,450,8775,3733,1270,259
az-words_truncated20.txt,895612,460,8527,3674,1247,241
az-words_truncated20.txt,895612,470,8467,3599,1220,241
az-words_truncated20.txt,895612,480,8479,3531,1188,237
az-words_truncated20.txt,895612,490,8152,3461,1166,252
az-words_truncated20.txt,895612,500,7926,3407,1140,238
az-words_truncated20.txt,895612,510,7912,3372,1133,240
az-words_truncated20.txt,895612,520,7665,3298,1103,238
az-words_truncated20.txt,895612,530,7633,3245,1078,258
az-words_truncated20.txt,895612,540,7656,3199,1056,246
az-words_truncated20.txt,895612,550,7319,3141,1042,237
az-words_truncated20.txt,895612,560,7218,3100,1025,232
az-words_truncated20.txt,895612,570,7245,3058,1007,251
az-words_truncated20.txt,895612,580,7009,2922,991,230
az-words_truncated20.txt,895612,590,6712,2864,969,230
az-words_truncated20.txt,895612,600,6815,2846,967,237
az-words_truncated20.txt,895612,610,6876,2799,940,260
az-words_truncated20.txt,895612,620,6531,2772,929,233
az-words_truncated20.txt,895612,630,6469,2719,912,229
az-words_truncated20.txt,895612,640,6597,2675,888,227
az-words_truncated20.txt,895612,650,6294,2660,885,246
az-words_truncated20.txt,895612,660,6178,2636,877,235
az-words_truncated20.txt,895612,670,6102,2606,863,232
az-words_truncated20.txt,895612,680,6111,2567,852,230
az-words_truncated20.txt,895612,690,6048,2533,838,252
az-words_truncated20.txt,895612,700,5952,2508,825,231
